index,id,from,to,freespeed,capacity,permlanes,oneway,modes,s2_from,s2_to,attributes,length,geometry,u,v
1733,1733,107877,12959453,4.166666666666667,600.0,1.0,1,{'car'},5221390754930832755,5221390754258232479,"{'osm:way:highway': 'unclassified', 'osm:way:id': 3127736.0, 'osm:way:name': 'Leigh Street', 'osm:way:traffic_calming': 'table'}",48.32781418106399,_jmmkwaB{{~zb_a@lb_nFrivkD,107877,12959453
2468,2468,107877,110270,8.333333333333334,2000.0,2.0,1,{'car'},5221390754930832755,5221390753960097489,"{'osm:way:highway': 'secondary', 'osm:way:id': 49932195.0, 'osm:way:lanes': '2', 'osm:way:name': 'Judd Street'}",95.66662279868932,_jmmkwaB{{~zb_a@qonpErmw_P,107877,110270
2471,2471,107877,109833,6.944444444444445,1200.0,2.0,1,{'car'},5221390754930832755,5221390754870642957,"{'osm:way:highway': 'tertiary', 'osm:way:id': 49932196.0, 'osm:way:lanes': '2', 'osm:way:name': 'Judd Street'}",54.98685056359895,_jmmkwaB{{~zb_a@pj{lDwru}G,107877,109833
1728,1728,107878,25475387,4.166666666666667,600.0,1.0,1,{'car'},5221390755591860979,5221390755762057903,"{'osm:way:highway': 'unclassified', 'osm:way:id': 3127736.0, 'osm:way:name': 'Leigh Street', 'osm:way:traffic_calming': 'table'}",47.47034267486895,ywnttvaB_{l_t~`@uh}{F}nhlC,107878,25475387
2346,2346,107878,2440633800,6.944444444444445,1200.0,2.0,1,{'car'},5221390755591860979,5221390755905544135,"{'osm:way:highway': 'tertiary', 'osm:way:id': 4253965.0, 'osm:way:lanes': '2', 'osm:way:name': 'Marchmont Street'}",65.72331952119508,ywnttvaB_{l_t~`@c`~iDjnxfJ,107878,2440633800
2485,2485,107878,14954215,4.166666666666667,1200.0,2.0,1,{'car'},5221390755591860979,5221390756382425739,"{'osm:way:highway': 'unclassified', 'osm:way:id': 49932184.0, 'osm:way:lanes': '2', 'osm:way:name': 'Cartwright Gardens'}",109.80406671927457,ywnttvaB_{l_t~`@llnkQwivsE,107878,14954215
322,322,107878,107981,6.944444444444445,1200.0,2.0,1,{'car'},5221390755591860979,5221390757749727255,"{'osm:way:highway': 'tertiary', 'osm:way:id': 17513379.0, 'osm:way:lanes': '2', 'osm:way:name': 'Cartwright Gardens'}",167.27058391971127,ywnttvaB_{l_t~`@`lpoOkdnhZ,107878,107981
2351,2351,107879,5610023877,4.166666666666667,600.0,1.0,1,{'car'},5221390755908363317,5221390755901971953,"{'osm:way:highway': 'unclassified', 'osm:way:id': 717792283.0, 'osm:way:name': 'Marchmont Street', 'osm:way:oneway': 'yes'}",3.812620707736506,g_phzvaBwtv~g~`@m}aFdfdU,107879,5610023877
323,323,107879,25475457,6.944444444444445,600.0,1.0,1,{'car'},5221390755908363317,5221390755839797185,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 17513381.0, 'osm:way:name': 'Tavistock Place', 'osm:way:oneway': 'yes'}",45.03348588699903,g_phzvaBwtv~g~`@g~{`Gge`~A,107879,25475457
569,569,107879,2440633800,6.944444444444445,600.0,1.0,1,{'car'},5221390755908363317,5221390755905544135,"{'osm:way:highway': 'tertiary', 'osm:way:id': 291536189.0, 'osm:way:name': 'Marchmont Street'}",4.341348859649905,g_phzvaBwtv~g~`@heaH{u{W,107879,2440633800
3129,3129,107881,4777961335,22.22222222222222,1500.0,1.0,1,{'car'},5221390712490353761,5221390712508817721,"{'osm:way:highway': 'primary', 'osm:way:id': 2876904.0, 'osm:way:name': 'Woburn Place'}",7.28823434801892,gy}jivaB{~qk_}`@zcoY{evb@,107881,4777961335
3130,3130,107881,11863161,22.22222222222222,1500.0,1.0,1,{'car'},5221390712490353761,5221390715291894409,"{'osm:way:highway': 'primary', 'osm:way:id': 2876904.0, 'osm:way:name': 'Woburn Place'}",130.68072444174902,gy}jivaB{~qk_}`@g`szMntf_S,107881,11863161
2192,2192,107882,25500620,4.166666666666667,600.0,1.0,1,{'car'},5221390752216925745,5221390751649773115,"{'osm:way:highway': 'unclassified', 'osm:way:id': 4256211.0, 'osm:way:name': 'Midhope Street'}",70.9995078205056,u~ze`xaBibypt_a@rxutBau``L,107882,25500620
3086,3086,107882,25500623,4.166666666666667,600.0,1.0,1,{'car'},5221390752216925745,5221390752281991629,"{'osm:way:highway': 'unclassified', 'osm:way:id': 4255963.0, 'osm:way:name': 'Cromer Street'}",39.18190480954259,u~ze`xaBibypt_a@{pgdFm|_cA,107882,25500623
3087,3087,107882,107871,4.166666666666667,600.0,1.0,1,{'car'},5221390752216925745,5221390751833464881,"{'osm:way:highway': 'unclassified', 'osm:way:id': 4255963.0, 'osm:way:name': 'Cromer Street'}",19.861992865179385,u~ze`xaBibypt_a@p`_tBxkv^,107882,107871
